ID,Title,Alias,Author,Description,Content,Image,Image,Is Published,Is Removed,Created At,Published At,Updated At,Removed At,Categories
1,Alternative Reality,alternative-reality,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Alternative Reality""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Alternative Reality""}}]",,,TRUE,FALSE,-3255 hours 16 minutes 24 seconds,-3255 hours 16 minutes 24 seconds,NULL,NULL,1
2,Commission on Experimental Charms,commission-for-experimental-charms,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Commission on Experimental Charms""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Commission on Experimental Charms""}}]",,,TRUE,FALSE,-3234 hours 49 minutes 41 seconds,-3234 hours 49 minutes 41 seconds,NULL,NULL,4
3,Albus Dumbledore and Harry Potter Classes,lessons-of-albus-dumbledore-and-harry-potter,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Albus Dumbledore and Harry Potter Classes""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Albus Dumbledore and Harry Potter Classes""}}]",,,TRUE,FALSE,-3213 hours 8 minutes 21 seconds,-3213 hours 8 minutes 21 seconds,NULL,NULL,1
4,Prophecy,prophecy,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Prophecy""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Prophecy""}}]",,,TRUE,FALSE,-3192 hours 24 minutes 46 seconds,-3192 hours 24 minutes 46 seconds,NULL,NULL,1
5,Wizengamot,wizengamot,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Wizengamot""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Wizengamot""}}]",,,TRUE,FALSE,-3171 hours 46 minutes 27 seconds,-3171 hours 46 minutes 27 seconds,NULL,NULL,4
6,Battle in the Chamber of Secrets,battle-in-secret-chamber,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Battle in the Chamber of Secrets""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Battle in the Chamber of Secrets""}}]",,,TRUE,FALSE,-3150 hours 12 minutes 40 seconds,-3150 hours 12 minutes 40 seconds,NULL,NULL,1
7,Cleaner (Company),clean,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Cleaner (Company)""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Cleaner (Company)""}}]",,,TRUE,FALSE,-3129 hours 39 minutes 51 seconds,-3129 hours 39 minutes 51 seconds,NULL,NULL,4
8,Head Girl,head-of-school,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Head Girl""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Head Girl""}}]",,,TRUE,FALSE,-3108 hours 52 minutes 12 seconds,-3108 hours 52 minutes 12 seconds,NULL,NULL,5
9,International Quidditch Association,international-quidditch-association,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of International Quidditch Association""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of International Quidditch Association""}}]",,,TRUE,FALSE,-3087 hours 6 minutes 51 seconds,-3087 hours 6 minutes 51 seconds,NULL,NULL,4
10,Fleur Delacour and Bill Weasley's wedding,wedding-of-fleur-delacourt-and-bill-weasley,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Fleur Delacour and Bill Weasley's wedding""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Fleur Delacour and Bill Weasley's wedding""}}]",,,TRUE,FALSE,-3066 hours 40 minutes 21 seconds,-3066 hours 40 minutes 21 seconds,NULL,NULL,1
